identifier,username,total,frac_species,species,frac_genus,genus,frac_tribe,tribe,frac_subfamily,subfamily,frac_family,family
486331,juliereid,412,0.662621359,273,0.169902913,70,0.118932039,49,0.002427184,1,0.046116505,19
270365,malacoderm,404,0.54950495,222,0.126237624,51,0.071782178,29,0.044554455,18,0.207920792,84
3133703,mmmmbugs,399,0.744360902,297,0.010025063,4,0,0,0,0,0.245614035,98
7504,annemirdl,391,0.667519182,261,0.097186701,38,0,0,0,0,0.235294118,92
349183,joemdo,384,0.690104167,265,0.083333333,32,0.002604167,1,0.015625,6,0.208333333,80
4894318,beetleinahaystack,382,0.829842932,317,0.041884817,16,0.047120419,18,0.020942408,8,0.060209424,23
340786,schoenitz,380,0.731578947,278,0.036842105,14,0.005263158,2,0.002631579,1,0.223684211,85
1952678,aricafoix,380,0.926315789,352,0.023684211,9,0,0,0,0,0.05,19
3373525,giantcicada,376,0.611702128,230,0.021276596,8,0.002659574,1,0.002659574,1,0.361702128,136
584526,joebartok,366,0.964480874,353,0.024590164,9,0,0,0,0,0.010928962,4
199809,eknuth,365,0.843835616,308,0.010958904,4,0,0,0,0,0.145205479,53
275891,psyllidhipster,365,0.920547945,336,0.008219178,3,0,0,0.002739726,1,0.068493151,25
2654402,caro-a,361,0.983379501,355,0.008310249,3,0,0,0,0,0.008310249,3
34038,merav,357,0.901960784,322,0.011204482,4,0.005602241,2,0,0,0.081232493,29
2481121,bahianoayala,354,0.926553672,328,0.014124294,5,0.002824859,1,0,0,0.056497175,20
513112,jasonjdking,352,0.994318182,350,0,0,0,0,0,0,0.005681818,2
171529,nsharp,348,0.939655172,327,0.014367816,5,0.002873563,1,0.002873563,1,0.040229885,14
1361238,roxannesbernard,346,0.985549133,341,0.011560694,4,0,0,0,0,0.002890173,1
1359608,vinisouza128,339,0.949852507,322,0.008849558,3,0.01179941,4,0.008849558,3,0.020648968,7
139257,pfau_tarleton,334,0.928143713,310,0.047904192,16,0.002994012,1,0.002994012,1,0.017964072,6
19433,jessicabeckham,329,0.905775076,298,0.015197568,5,0.003039514,1,0.003039514,1,0.072948328,24
1346668,tca12345,328,0.963414634,316,0.00304878,1,0.012195122,4,0,0,0.021341463,7
1661585,feralmerrill,323,0.984520124,318,0.00619195,2,0,0,0,0,0.009287926,3
1263262,sessilefielder,320,0.065625,21,0.05,16,0.45,144,0,0,0.434375,139
26296,connlindajo,314,0.917197452,288,0.006369427,2,0.012738854,4,0,0,0.063694268,20
53702,lonnyholmes,312,0.961538462,300,0.032051282,10,0,0,0,0,0.006410256,2
5722,cisnerosheredia,306,0.918300654,281,0.04248366,13,0,0,0,0,0.039215686,12
1451099,lmdalessio,305,0.908196721,277,0.026229508,8,0.016393443,5,0,0,0.049180328,15
35078,srall,303,0.907590759,275,0.00330033,1,0,0,0.00660066,2,0.082508251,25
172887,fmgee,298,0.912751678,272,0.046979866,14,0,0,0,0,0.040268456,12
17695,graysquirrel,294,0.272108844,80,0,0,0,0,0,0,0.727891156,214
3827179,bayareawalker,293,0.95221843,279,0.020477816,6,0.003412969,1,0,0,0.023890785,7
952718,kamedaphor,292,0.815068493,238,0.071917808,21,0.030821918,9,0.006849315,2,0.075342466,22
167458,laurenjansensimpson,289,0.965397924,279,0.010380623,3,0,0,0,0,0.024221453,7
1011565,nlmurray,286,0.993006993,284,0.006993007,2,0,0,0,0,0,0
494608,bufface,284,0.809859155,230,0.070422535,20,0.024647887,7,0.003521127,1,0.091549296,26
4111129,vicky555,282,0.957446809,270,0.028368794,8,0.003546099,1,0,0,0.010638298,3
410178,dailyentomologist,281,0.971530249,273,0.014234875,4,0,0,0,0,0.014234875,4
412180,juan_carlos_caicedo_hdz,280,0.957142857,268,0.010714286,3,0.003571429,1,0,0,0.028571429,8
960916,szucsich,279,0.243727599,68,0.007168459,2,0.007168459,2,0.007168459,2,0.734767025,205
2011464,whateverwatcher,272,0.981617647,267,0.007352941,2,0.003676471,1,0.003676471,1,0.003676471,1
3046384,nitsuga74,271,0.981549815,266,0.014760148,4,0,0,0,0,0.003690037,1
3225686,leahmfulton,271,1,271,0,0,0,0,0,0,0,0
2991,sea-kangaroo,270,0.918518519,248,0.007407407,2,0,0,0,0,0.074074074,20
78791,itmndeborah,266,0.996240602,265,0,0,0,0,0,0,0.003759398,1
2659036,claire146963,263,0.003802281,1,0,0,0.003802281,1,0,0,0.992395437,261
2091871,rrmeehan87,262,0.980916031,257,0,0,0.003816794,1,0,0,0.015267176,4
756242,jpupko,261,0.823754789,215,0.149425287,39,0.003831418,1,0.007662835,2,0.01532567,4
173183,serpophaga,260,0.938461538,244,0.034615385,9,0,0,0,0,0.026923077,7
241853,bobharding,259,0.996138996,258,0.003861004,1,0,0,0,0,0,0
1040988,matthias22,254,0.81496063,207,0.133858268,34,0.035433071,9,0.003937008,1,0.011811024,3
448026,walkingstick2,253,0.996047431,252,0,0,0,0,0,0,0.003952569,1
582536,texaskingbird,252,0.992063492,250,0.003968254,1,0,0,0.003968254,1,0,0
2379506,seba_fornes,249,0.991967871,247,0,0,0,0,0,0,0.008032129,2
12045,larry522,244,0.950819672,232,0.008196721,2,0,0,0,0,0.040983607,10
363007,eridanxharahi,242,1,242,0,0,0,0,0,0,0,0
16744,aztekium,242,0.661157025,160,0.066115702,16,0.008264463,2,0.008264463,2,0.256198347,62
112902,cdorsay,240,0.979166667,235,0,0,0.004166667,1,0.008333333,2,0.008333333,2
1900869,msnewel,237,0.983122363,233,0,0,0.004219409,1,0,0,0.012658228,3
26121,wouterkoch,237,0.991561181,235,0.004219409,1,0,0,0,0,0.004219409,1
604948,aispinsects,235,0.880851064,207,0.038297872,9,0.021276596,5,0.021276596,5,0.038297872,9
1,kueda,234,0.670940171,157,0.012820513,3,0,0,0,0,0.316239316,74
18812,mako252,234,1,234,0,0,0,0,0,0,0,0
2149235,pierrickb,230,0.92173913,212,0.039130435,9,0.004347826,1,0,0,0.034782609,8
1111376,animalview29,229,0.930131004,213,0,0,0,0,0,0,0.069868996,16
819219,observenw,227,0.964757709,219,0.013215859,3,0.008810573,2,0,0,0.013215859,3
111081,brucebennett,227,0.964757709,219,0.004405286,1,0,0,0,0,0.030837004,7
438241,soolquipildor,227,0.889867841,202,0.04845815,11,0.004405286,1,0.004405286,1,0.052863436,12
200521,skitterbug,225,0.906666667,204,0.004444444,1,0.004444444,1,0.004444444,1,0.08,18
382378,jmmaes,225,0.844444444,190,0.044444444,10,0.017777778,4,0.008888889,2,0.084444444,19
2554773,alex_iosipenko,222,1,222,0,0,0,0,0,0,0,0
15366,mikepatterson,218,0.95412844,208,0,0,0,0,0,0,0.04587156,10
1229930,inclandj,213,0.845070423,180,0.0657277,14,0.009389671,2,0,0,0.079812207,17
2742914,ellyne,213,0.830985915,177,0,0,0,0,0,0,0.169014085,36
104025,harsiparker,213,0.708920188,151,0.046948357,10,0,0,0,0,0.244131455,52
822751,laurajb,212,0.995283019,211,0,0,0,0,0,0,0.004716981,1
8614,bug_eric,212,0.872641509,185,0.070754717,15,0.014150943,3,0.009433962,2,0.033018868,7
140872,ellen5,211,0.928909953,196,0.033175355,7,0,0,0.004739336,1,0.033175355,7
269263,tfandre,211,0.957345972,202,0,0,0,0,0.009478673,2,0.033175355,7
1850,bbunny,210,0.871428571,183,0.014285714,3,0,0,0.004761905,1,0.10952381,23
3577081,tylerballantyne,209,1,209,0,0,0,0,0,0,0,0
147416,teawren,208,0.990384615,206,0,0,0,0,0,0,0.009615385,2
50920,susanhewitt,207,0.888888889,184,0.033816425,7,0.009661836,2,0.009661836,2,0.057971014,12
2367948,b_silva,207,0.888888889,184,0.072463768,15,0,0,0,0,0.038647343,8
343333,lshepstew,207,0.980676329,203,0.014492754,3,0,0,0,0,0.004830918,1
113881,sobek,201,0.930348259,187,0.019900498,4,0,0,0.004975124,1,0.044776119,9
6184,patrich,198,0.893939394,177,0.035353535,7,0,0,0.005050505,1,0.065656566,13
572980,sadawolk,196,0.974489796,191,0.015306122,3,0,0,0,0,0.010204082,2
109854,swampy,195,0.958974359,187,0,0,0,0,0,0,0.041025641,8
233217,linneav,194,0.025773196,5,0,0,0,0,0,0,0.974226804,189
517807,kemper,192,0.875,168,0.010416667,2,0,0,0,0,0.114583333,22
3447449,cmciv,192,0.921875,177,0.026041667,5,0.036458333,7,0,0,0.015625,3
556169,becksinsects,192,0.9375,180,0.015625,3,0.005208333,1,0,0,0.041666667,8
5082468,that_bug_guy,191,0.979057592,187,0,0,0.005235602,1,0,0,0.015706806,3
310151,ellendale,188,0.925531915,174,0.021276596,4,0.010638298,2,0,0,0.042553191,8
370284,idlegrraphics,188,0.787234043,148,0.090425532,17,0,0,0.042553191,8,0.079787234,15
4052921,vanderwaals,188,0.984042553,185,0.005319149,1,0.010638298,2,0,0,0,0
961817,alwoodhouse,188,0.89893617,169,0.085106383,16,0,0,0,0,0.015957447,3
2462853,sotnik_on,187,0.887700535,166,0.021390374,4,0,0,0,0,0.090909091,17
776740,kwolgemuth,185,0.675675676,125,0.005405405,1,0,0,0.005405405,1,0.313513514,58
747675,kasani258,184,0.652173913,120,0.277173913,51,0.065217391,12,0,0,0.005434783,1
3785,treegrow,182,0.472527473,86,0.054945055,10,0.010989011,2,0.010989011,2,0.450549451,82
386070,steveexplore,181,0.966850829,175,0.011049724,2,0,0,0,0,0.022099448,4
254559,tmurray74,181,0.988950276,179,0,0,0,0,0,0,0.011049724,2
3344495,rmchubaty,177,0.649717514,115,0.175141243,31,0.084745763,15,0,0,0.09039548,16
1042599,klaas_reissmann,175,0.822857143,144,0.091428571,16,0.005714286,1,0.017142857,3,0.062857143,11
11861,drshawntdash,173,0.76300578,132,0.040462428,7,0.01734104,3,0.005780347,1,0.173410405,30
868220,junipursa,170,0.935294118,159,0.041176471,7,0.005882353,1,0,0,0.017647059,3
143067,philipwoodscc,168,0.982142857,165,0.017857143,3,0,0,0,0,0,0
35110,andym,165,0.915151515,151,0.054545455,9,0,0,0.006060606,1,0.024242424,4
1357547,cholmesphoto,161,0.98136646,158,0.00621118,1,0,0,0.00621118,1,0.00621118,1
268162,johnschneider,160,0.59375,95,0.05625,9,0,0,0.1625,26,0.1875,30
155080,gcsnelling,158,0.689873418,109,0.018987342,3,0,0,0,0,0.291139241,46
765334,raymie,158,0.841772152,133,0,0,0,0,0,0,0.158227848,25
491988,pucak,157,1,157,0,0,0,0,0,0,0,0
762836,napoleon1799,157,0.98089172,154,0.012738854,2,0.006369427,1,0,0,0,0
2358205,orange_sunshine,156,0.974358974,152,0.012820513,2,0,0,0,0,0.012820513,2
126312,justinluong,155,0.987096774,153,0.012903226,2,0,0,0,0,0,0
1545311,felipecampos,155,0.651612903,101,0.051612903,8,0,0,0.012903226,2,0.283870968,44
236600,ignacio_a_rodriguez,153,0.797385621,122,0.14379085,22,0.006535948,1,0.019607843,3,0.032679739,5
1020162,lotteryd,153,0.568627451,87,0,0,0.006535948,1,0,0,0.424836601,65
100576,artemis224,151,0.894039735,135,0.039735099,6,0.01986755,3,0.006622517,1,0.039735099,6
516221,chad_w,150,0.926666667,139,0.006666667,1,0,0,0.033333333,5,0.033333333,5
4240482,ashley-j-schmitz,149,0.959731544,143,0.020134228,3,0,0,0,0,0.020134228,3
17409,lulubelle,149,0.959731544,143,0.020134228,3,0,0,0,0,0.020134228,3
1929695,diego_fernando,148,0.993243243,147,0.006756757,1,0,0,0,0,0,0
11060,john8,148,0.655405405,97,0.02027027,3,0,0,0,0,0.324324324,48
1722768,thebirdnerd,147,0.925170068,136,0.027210884,4,0,0,0,0,0.047619048,7
205380,latimeria-co,146,0.95890411,140,0.01369863,2,0,0,0,0,0.02739726,4
27047,gcwarbler,146,0.97260274,142,0.006849315,1,0,0,0,0,0.020547945,3
64372,richardwasson,146,0.719178082,105,0.04109589,6,0,0,0,0,0.239726027,35
151498,eattaway92,144,0.958333333,138,0.020833333,3,0,0,0,0,0.020833333,3
3492578,ccburke,143,0.888111888,127,0.013986014,2,0.027972028,4,0.006993007,1,0.062937063,9
2866061,ken_j_allison,143,0.881118881,126,0.006993007,1,0,0,0,0,0.111888112,16
541726,sricher,143,0.979020979,140,0.020979021,3,0,0,0,0,0,0
86566,zipactli,141,0.326241135,46,0.035460993,5,0.007092199,1,0.028368794,4,0.602836879,85
805798,rayquazasaur,140,0.214285714,30,0.071428571,10,0.042857143,6,0.028571429,4,0.642857143,90
4166707,chrisrmoreira,140,0.585714286,82,0.221428571,31,0.021428571,3,0.078571429,11,0.092857143,13
443199,willc-t,140,0.857142857,120,0.05,7,0.021428571,3,0.014285714,2,0.057142857,8
3569810,hug0m,139,0.935251799,130,0.050359712,7,0,0,0,0,0.014388489,2
1521426,hailauren,138,0.942028986,130,0.02173913,3,0.007246377,1,0.007246377,1,0.02173913,3
2737566,henriqueandrades,138,0.869565217,120,0.007246377,1,0.02173913,3,0.014492754,2,0.086956522,12
703773,lincolndurey,138,0.52173913,72,0.15942029,22,0.02173913,3,0.072463768,10,0.224637681,31
349162,mmn_noriko,138,0.913043478,126,0.079710145,11,0.007246377,1,0,0,0,0
513187,thomasabenson,138,0.869565217,120,0.014492754,2,0,0,0,0,0.115942029,16
161086,cypselurus,137,0.948905109,130,0.01459854,2,0.00729927,1,0,0,0.02919708,4
44310,garychang,137,0.773722628,106,0.116788321,16,0.00729927,1,0,0,0.102189781,14
2419302,activateourgarden,134,1,134,0,0,0,0,0,0,0,0
3209456,guillaume_delaitre,134,0.701492537,94,0.052238806,7,0.014925373,2,0.007462687,1,0.223880597,30
1467469,santiagomailhos,134,0.925373134,124,0.014925373,2,0.029850746,4,0.007462687,1,0.02238806,3
1831095,douglasriverside,133,0.969924812,129,0.015037594,2,0,0,0,0,0.015037594,2
18079,lg_price,133,0.969924812,129,0.030075188,4,0,0,0,0,0,0
451364,dprasad,133,0.812030075,108,0.067669173,9,0.007518797,1,0.030075188,4,0.082706767,11
20400,matthew_wills,133,0.947368421,126,0.007518797,1,0.022556391,3,0,0,0.022556391,3
91922,avocat,133,0.781954887,104,0,0,0,0,0,0,0.218045113,29
3062716,kadenlikesmilk,132,1,132,0,0,0,0,0,0,0,0
720577,mhalsted,132,0.992424242,131,0,0,0,0,0,0,0.007575758,1
147487,ryanandrews,131,0.954198473,125,0,0,0,0,0,0,0.045801527,6
2645618,threeagoutdoors,131,0.900763359,118,0.022900763,3,0.007633588,1,0.030534351,4,0.038167939,5
3269871,paige186,129,1,129,0,0,0,0,0,0,0,0
3234999,zealouswizard,128,0.7421875,95,0.0078125,1,0.1171875,15,0.0078125,1,0.125,16
10980,pinkpimpernel,128,0.5078125,65,0.0390625,5,0,0,0,0,0.453125,58
1703763,zmei,127,0.976377953,124,0.023622047,3,0,0,0,0,0,0
8778,gyrrlfalcon,126,0.912698413,115,0.007936508,1,0.007936508,1,0,0,0.071428571,9
1717105,clay_s,126,0.380952381,48,0.047619048,6,0.007936508,1,0.015873016,2,0.547619048,69
34488,pileated,126,0.912698413,115,0.055555556,7,0.007936508,1,0,0,0.023809524,3
437461,donaldasutherland,126,0.968253968,122,0.007936508,1,0,0,0.007936508,1,0.015873016,2
3647285,svr78,125,0.976,122,0.024,3,0,0,0,0,0,0
1109260,puffin21,125,0.976,122,0.008,1,0,0,0,0,0.016,2
318516,bodofzt,125,0.744,93,0.112,14,0.016,2,0.008,1,0.12,15
1573683,bioljaviertun,125,0.656,82,0.192,24,0.008,1,0.008,1,0.136,17
57863,sdjbrown,125,0.072,9,0.008,1,0.008,1,0.008,1,0.904,113
419734,kari_dawn,125,0.872,109,0.032,4,0,0,0,0,0.096,12
3097326,nrudzik,124,0.540322581,67,0,0,0.008064516,1,0,0,0.451612903,56
3586697,iowanaturalist,124,0.983870968,122,0.008064516,1,0,0,0,0,0.008064516,1
50445,nicoolejnik,124,0.983870968,122,0.016129032,2,0,0,0,0,0,0
1130804,barbara_taylor,123,0.983739837,121,0,0,0,0,0,0,0.016260163,2
127188,kimberlietx,122,0.672131148,82,0.245901639,30,0,0,0.016393443,2,0.06557377,8
392375,kevtolan,122,0.967213115,118,0,0,0,0,0.008196721,1,0.024590164,3
18329,eddiebug,122,0.844262295,103,0,0,0,0,0,0,0.155737705,19
43591,wildcarrot,121,0.760330579,92,0.024793388,3,0.008264463,1,0.008264463,1,0.198347107,24
1851811,gafischer,120,0.7,84,0.033333333,4,0.033333333,4,0,0,0.233333333,28
1445795,behmrachel,120,0.533333333,64,0.041666667,5,0,0,0,0,0.425,51
53860,berkshirenaturalist,119,0.369747899,44,0.025210084,3,0,0,0.016806723,2,0.588235294,70
3994596,jamiegriffiths,118,0.906779661,107,0.025423729,3,0.008474576,1,0,0,0.059322034,7
1428321,dawicho,118,0.576271186,68,0.101694915,12,0.076271186,9,0,0,0.245762712,29
1013268,mnathan,118,0.042372881,5,0.016949153,2,0.008474576,1,0,0,0.93220339,110
284837,norm_shea,118,0.974576271,115,0,0,0,0,0,0,0.025423729,3
2505749,virili-lvx,117,1,117,0,0,0,0,0,0,0,0
1546266,martin_apaza_ticona,117,0.948717949,111,0.034188034,4,0.008547009,1,0,0,0.008547009,1
425568,melimez,116,0.862068966,100,0.00862069,1,0,0,0.00862069,1,0.120689655,14
2266052,paulkdavis,116,0.956896552,111,0.00862069,1,0,0,0,0,0.034482759,4
370785,star3,116,0.146551724,17,0.034482759,4,0,0,0.00862069,1,0.810344828,94
1720217,celestes,115,0.486956522,56,0,0,0,0,0,0,0.513043478,59
34496,patsimpson2000,115,0.843478261,97,0.017391304,2,0,0,0,0,0.139130435,16
145475,jeanfrancoisroch,114,0.798245614,91,0.061403509,7,0.00877193,1,0.00877193,1,0.122807018,14
3103290,zyan389,113,1,113,0,0,0,0,0,0,0,0
1973881,juan_sphex,113,0.628318584,71,0.017699115,2,0.14159292,16,0.07079646,8,0.14159292,16
917390,ameeds,113,0.10619469,12,0,0,0,0,0.008849558,1,0.884955752,100
1276353,michaelpirrello,112,0,0,0.053571429,6,0.017857143,2,0.008928571,1,0.919642857,103
1076411,knicoll,111,0.882882883,98,0.009009009,1,0.009009009,1,0,0,0.099099099,11
