session_leaderboard,user,username,user_leaderboard,date,ids
78,1442162,rob-westerduijn,2,2020-06-27,340
79,463097,richyfourtytwo,1,2021-10-26,339
80,270883,lazarus,24,2019-06-18,338
81,463097,richyfourtytwo,1,2021-05-25,336
82,579740,alex_cicindela_guy,15,2018-10-05,332
83,463097,richyfourtytwo,1,2021-06-10,327
84,1442162,rob-westerduijn,2,2019-04-21,327
85,1485790,cpu,8,2022-11-24,326
86,463097,richyfourtytwo,1,2021-10-15,326
87,463097,richyfourtytwo,1,2021-08-10,322
88,2249019,elytrid,5,2021-02-01,321
89,463097,richyfourtytwo,1,2020-04-28,321
90,463097,richyfourtytwo,1,2020-05-24,320
91,463097,richyfourtytwo,1,2021-08-27,320
92,463097,richyfourtytwo,1,2021-06-26,319
93,463097,richyfourtytwo,1,2020-04-26,318
94,463097,richyfourtytwo,1,2021-08-03,316
95,1598908,artois,46,2019-05-03,315
96,115129,aguilita,13,2020-01-17,314
97,463097,richyfourtytwo,1,2021-10-07,309
98,2116455,davidenrique,3,2021-05-02,309
99,1442162,rob-westerduijn,2,2019-04-16,308
100,463097,richyfourtytwo,1,2021-10-22,304
101,792319,djringer,42,2019-04-24,303
102,1442162,rob-westerduijn,2,2019-04-10,303
103,463097,richyfourtytwo,1,2021-06-05,302
104,2116455,davidenrique,3,2021-03-07,301
105,463097,richyfourtytwo,1,2021-10-20,300
106,463097,richyfourtytwo,1,2021-06-08,299
107,1485790,cpu,8,2022-11-25,297
108,297834,kt_woods,9,2021-09-14,296
109,34728,cosmiccat,14,2020-09-13,296
110,297834,kt_woods,9,2021-10-20,295
111,463097,richyfourtytwo,1,2021-05-05,294
112,1442162,rob-westerduijn,2,2021-04-26,294
113,463097,richyfourtytwo,1,2019-12-18,293
114,463097,richyfourtytwo,1,2021-05-23,292
115,34728,cosmiccat,14,2020-09-16,290
116,463097,richyfourtytwo,1,2021-10-19,287
117,2116455,davidenrique,3,2021-02-21,285
118,1442162,rob-westerduijn,2,2020-01-15,285
119,1442162,rob-westerduijn,2,2020-08-14,284
120,2116455,davidenrique,3,2021-03-08,284
121,1442162,rob-westerduijn,2,2019-05-30,283
122,2116455,davidenrique,3,2021-02-20,282
123,1442162,rob-westerduijn,2,2019-05-16,282
124,463097,richyfourtytwo,1,2021-06-12,280
125,1442162,rob-westerduijn,2,2020-10-04,279
126,463097,richyfourtytwo,1,2021-10-13,278
127,1442162,rob-westerduijn,2,2020-06-29,276
128,463097,richyfourtytwo,1,2021-05-26,274
129,463097,richyfourtytwo,1,2021-10-03,273
130,463097,richyfourtytwo,1,2021-07-04,273
131,2116455,davidenrique,3,2021-02-24,273
132,1442162,rob-westerduijn,2,2020-06-20,272
133,463097,richyfourtytwo,1,2021-05-31,267
134,1485790,cpu,8,2021-11-29,266
135,463097,richyfourtytwo,1,2021-07-08,266
136,1442162,rob-westerduijn,2,2019-02-23,265
137,1442162,rob-westerduijn,2,2020-10-18,265
138,463097,richyfourtytwo,1,2021-08-08,265
139,34728,cosmiccat,14,2020-09-11,262
140,1442162,rob-westerduijn,2,2019-04-09,261
141,463097,richyfourtytwo,1,2021-08-13,261
142,2249019,elytrid,5,2020-11-18,260
143,1442162,rob-westerduijn,2,2020-08-15,259
144,463097,richyfourtytwo,1,2021-09-03,257
145,1397024,emiliapenaherrera,23,2021-07-19,256
146,1485790,cpu,8,2021-12-01,254
147,1442162,rob-westerduijn,2,2019-03-29,253
148,463097,richyfourtytwo,1,2021-05-15,251
149,463097,richyfourtytwo,1,2021-11-11,251
150,463097,richyfourtytwo,1,2020-05-10,251
151,463097,richyfourtytwo,1,2021-10-17,251
152,1397024,emiliapenaherrera,23,2020-05-20,250
153,463097,richyfourtytwo,1,2021-06-03,250
154,6971,silversea_starsong,6,2015-11-22,250
155,463097,richyfourtytwo,1,2021-07-11,249
156,463097,richyfourtytwo,1,2021-10-18,248
157,463097,richyfourtytwo,1,2021-10-25,247
158,463097,richyfourtytwo,1,2021-10-21,246
159,1485790,cpu,8,2021-11-28,243
160,2116455,davidenrique,3,2021-02-23,242
161,18701,apgarm,22,2020-01-22,242
162,1485790,cpu,8,2022-02-28,239
163,463097,richyfourtytwo,1,2021-11-05,239
164,463097,richyfourtytwo,1,2020-05-03,239
165,463097,richyfourtytwo,1,2021-06-14,238
166,1442162,rob-westerduijn,2,2019-02-22,238
167,463097,richyfourtytwo,1,2021-05-16,235
168,463097,richyfourtytwo,1,2021-06-22,233
169,463097,richyfourtytwo,1,2021-09-19,232
170,463097,richyfourtytwo,1,2021-05-27,231
171,463097,richyfourtytwo,1,2021-08-14,230
172,18701,apgarm,22,2020-08-26,229
173,463097,richyfourtytwo,1,2021-08-31,229
174,463097,richyfourtytwo,1,2021-10-24,229
175,463097,richyfourtytwo,1,2021-07-13,226
176,463097,richyfourtytwo,1,2021-08-09,226
177,463097,richyfourtytwo,1,2021-06-27,226
178,463097,richyfourtytwo,1,2021-09-02,225
179,2249019,elytrid,5,2020-11-07,224
180,1442162,rob-westerduijn,2,2020-06-05,223
181,463097,richyfourtytwo,1,2021-05-28,222
182,1442162,rob-westerduijn,2,2019-05-31,222
183,463097,richyfourtytwo,1,2019-09-10,222
184,463097,richyfourtytwo,1,2021-09-29,222
185,2116455,davidenrique,3,2021-02-16,220
186,1442162,rob-westerduijn,2,2019-05-13,220
187,2116455,davidenrique,3,2021-05-16,220
188,463097,richyfourtytwo,1,2021-05-01,219
189,297834,kt_woods,9,2021-07-23,219
190,463097,richyfourtytwo,1,2021-08-29,217
191,463097,richyfourtytwo,1,2021-08-12,217
192,1442162,rob-westerduijn,2,2019-05-19,216
193,34728,cosmiccat,14,2020-08-27,215
194,1442162,rob-westerduijn,2,2019-05-18,214
195,297834,kt_woods,9,2021-09-16,214
196,463097,richyfourtytwo,1,2021-09-28,212
197,1442162,rob-westerduijn,2,2019-04-19,212
198,463097,richyfourtytwo,1,2021-06-25,211
199,115129,aguilita,13,2019-07-24,210
200,463097,richyfourtytwo,1,2021-08-28,210
201,463097,richyfourtytwo,1,2021-11-09,209
202,1442162,rob-westerduijn,2,2019-04-18,209
203,463097,richyfourtytwo,1,2021-05-20,209
204,463097,richyfourtytwo,1,2021-08-20,209
205,297834,kt_woods,9,2021-08-20,207
206,1442162,rob-westerduijn,2,2020-08-16,207
207,463097,richyfourtytwo,1,2021-08-16,207
208,463097,richyfourtytwo,1,2021-06-19,206
209,1442162,rob-westerduijn,2,2020-06-06,206
210,18701,apgarm,22,2021-06-20,206
211,463097,richyfourtytwo,1,2021-05-10,206
212,1442162,rob-westerduijn,2,2019-08-10,203
213,297834,kt_woods,9,2021-09-11,203
214,297834,kt_woods,9,2021-08-21,203
215,463097,richyfourtytwo,1,2021-11-14,203
216,463097,richyfourtytwo,1,2021-05-18,203
217,1485790,cpu,8,2022-11-10,202
218,297834,kt_woods,9,2021-09-15,201
219,463097,richyfourtytwo,1,2021-11-12,201
220,1442162,rob-westerduijn,2,2019-05-06,200
221,463097,richyfourtytwo,1,2021-05-11,199
222,463097,richyfourtytwo,1,2021-11-07,199
223,1397024,emiliapenaherrera,23,2022-04-27,199
224,463097,richyfourtytwo,1,2020-05-25,199
225,463097,richyfourtytwo,1,2019-09-16,199
226,463097,richyfourtytwo,1,2021-08-22,198
227,1598908,artois,46,2019-05-05,197
228,463097,richyfourtytwo,1,2021-05-29,197
229,1442162,rob-westerduijn,2,2021-05-22,197
230,463097,richyfourtytwo,1,2021-04-26,196
231,463097,richyfourtytwo,1,2021-06-07,196
232,297834,kt_woods,9,2021-09-04,194
233,463097,richyfourtytwo,1,2021-11-08,194
234,297834,kt_woods,9,2021-07-14,194
235,34728,cosmiccat,14,2020-09-25,193
236,463097,richyfourtytwo,1,2020-05-15,191
237,1442162,rob-westerduijn,2,2020-07-07,191
238,1442162,rob-westerduijn,2,2021-06-28,190
239,463097,richyfourtytwo,1,2020-05-18,189
240,1442162,rob-westerduijn,2,2019-05-11,188
241,463097,richyfourtytwo,1,2021-05-19,187
242,463097,richyfourtytwo,1,2021-09-22,186
243,463097,richyfourtytwo,1,2020-05-11,185
244,1442162,rob-westerduijn,2,2019-07-13,185
245,463097,richyfourtytwo,1,2021-05-09,185
246,463097,richyfourtytwo,1,2021-04-25,185
247,2249019,elytrid,5,2021-05-03,184
248,1442162,rob-westerduijn,2,2019-05-24,184
249,463097,richyfourtytwo,1,2021-11-03,184
250,1442162,rob-westerduijn,2,2020-06-18,183
251,463097,richyfourtytwo,1,2021-09-11,183
252,463097,richyfourtytwo,1,2020-05-16,183
253,2116455,davidenrique,3,2021-07-30,183
254,463097,richyfourtytwo,1,2021-05-14,182
255,463097,richyfourtytwo,1,2021-05-13,181
256,463097,richyfourtytwo,1,2021-09-17,181
257,792319,djringer,42,2019-04-23,181
258,463097,richyfourtytwo,1,2021-11-17,181
259,463097,richyfourtytwo,1,2020-05-13,180
260,2116455,davidenrique,3,2021-03-12,179
261,463097,richyfourtytwo,1,2021-09-01,178
262,2116455,davidenrique,3,2021-03-09,178
263,165078,edanko,48,2017-01-23,177
264,297834,kt_woods,9,2021-09-17,177
265,463097,richyfourtytwo,1,2021-05-08,177
266,1442162,rob-westerduijn,2,2019-04-06,177
267,1442162,rob-westerduijn,2,2019-04-11,176
268,463097,richyfourtytwo,1,2021-09-20,176
269,463097,richyfourtytwo,1,2021-09-30,175
270,463097,richyfourtytwo,1,2021-05-21,175
271,463097,richyfourtytwo,1,2021-05-12,175
272,463097,richyfourtytwo,1,2021-09-25,174
273,463097,richyfourtytwo,1,2021-08-02,174
274,22589,sambiology,11,2018-05-06,174
275,463097,richyfourtytwo,1,2021-07-10,173
276,2032840,ghostburglar,12,2020-09-25,172
277,1012326,dusty_in_vilas-tx,4,2019-05-08,172
278,1485790,cpu,8,2022-01-06,172
279,1442162,rob-westerduijn,2,2020-07-20,172
280,463097,richyfourtytwo,1,2021-06-09,171
281,463097,richyfourtytwo,1,2021-10-01,169
282,463097,richyfourtytwo,1,2021-05-17,169
283,463097,richyfourtytwo,1,2021-09-10,169
284,463097,richyfourtytwo,1,2021-09-16,168
285,463097,richyfourtytwo,1,2021-11-10,167
286,2249019,elytrid,5,2020-11-10,167
287,463097,richyfourtytwo,1,2021-09-24,166
288,6971,silversea_starsong,6,2016-08-16,166
289,463097,richyfourtytwo,1,2021-10-29,165
290,2116455,davidenrique,3,2021-03-11,165
291,2343836,josefloribundus,29,2022-08-07,165
292,463097,richyfourtytwo,1,2021-09-23,164
293,2249019,elytrid,5,2021-05-04,163
294,1012326,dusty_in_vilas-tx,4,2021-05-07,161
295,2032840,ghostburglar,12,2020-10-08,160
296,463097,richyfourtytwo,1,2021-07-09,160
297,463097,richyfourtytwo,1,2020-05-17,158
298,1442162,rob-westerduijn,2,2019-03-26,158
299,1442162,rob-westerduijn,2,2020-08-12,158
300,463097,richyfourtytwo,1,2021-11-02,158
301,775455,iosialectus,18,2021-07-31,157
302,463097,richyfourtytwo,1,2021-09-13,157
303,1442162,rob-westerduijn,2,2021-03-19,157
304,1442162,rob-westerduijn,2,2019-05-04,156
305,2249019,elytrid,5,2021-06-02,156
306,775455,iosialectus,18,2021-10-08,156
307,1485790,cpu,8,2022-10-12,155
308,463097,richyfourtytwo,1,2021-04-29,154
309,463097,richyfourtytwo,1,2021-07-07,153
310,463097,richyfourtytwo,1,2021-05-03,153
311,34728,cosmiccat,14,2020-09-01,152
312,463097,richyfourtytwo,1,2019-09-18,152
313,2032840,ghostburglar,12,2021-02-17,152
314,22589,sambiology,11,2019-04-14,152
315,2116455,davidenrique,3,2021-07-04,152
316,463097,richyfourtytwo,1,2021-11-06,151
317,463097,richyfourtytwo,1,2020-02-16,151
318,463097,richyfourtytwo,1,2020-04-29,151
319,2116455,davidenrique,3,2021-07-09,151
320,1442162,rob-westerduijn,2,2020-05-06,151
321,1442162,rob-westerduijn,2,2019-05-22,151
322,792319,djringer,42,2019-06-16,151
323,18701,apgarm,22,2021-06-14,150
324,242224,malisaspring,17,2019-08-13,150
325,463097,richyfourtytwo,1,2021-09-12,149
326,2249019,elytrid,5,2021-02-16,149
327,463097,richyfourtytwo,1,2020-05-22,149
328,1442162,rob-westerduijn,2,2019-05-20,147
329,463097,richyfourtytwo,1,2020-05-19,146
330,1442162,rob-westerduijn,2,2019-04-30,146
331,463097,richyfourtytwo,1,2021-06-04,146
332,463097,richyfourtytwo,1,2020-05-26,146
333,165078,edanko,48,2017-01-24,146
334,463097,richyfourtytwo,1,2021-09-21,145
335,270883,lazarus,24,2020-07-08,144
336,463097,richyfourtytwo,1,2021-09-06,143
337,2249019,elytrid,5,2021-06-28,143
338,463097,richyfourtytwo,1,2021-08-30,142
339,463097,richyfourtytwo,1,2020-05-01,142
340,1397024,emiliapenaherrera,23,2021-05-10,141
341,1442162,rob-westerduijn,2,2019-03-09,141
342,34728,cosmiccat,14,2020-09-14,141
343,1442162,rob-westerduijn,2,2020-11-05,141
344,463097,richyfourtytwo,1,2021-09-08,141
345,18701,apgarm,22,2021-06-25,141
346,115129,aguilita,13,2018-08-24,140
347,242224,malisaspring,17,2020-07-11,140
348,463097,richyfourtytwo,1,2021-11-04,139
349,980404,jilliankern,31,2019-05-10,139
350,2116455,davidenrique,3,2021-05-03,139
351,463097,richyfourtytwo,1,2021-10-31,139
352,1442162,rob-westerduijn,2,2022-02-12,138
353,1442162,rob-westerduijn,2,2021-05-31,138
354,2116455,davidenrique,3,2021-06-24,138
355,297834,kt_woods,9,2022-04-25,138
356,463097,richyfourtytwo,1,2021-09-05,137
357,1397024,emiliapenaherrera,23,2020-11-24,137
358,115129,aguilita,13,2020-10-21,137
359,463097,richyfourtytwo,1,2021-05-24,136
360,463097,richyfourtytwo,1,2021-08-07,136
361,297834,kt_woods,9,2021-09-13,136
362,2032840,ghostburglar,12,2021-02-23,136
363,1012326,dusty_in_vilas-tx,4,2020-08-02,136
364,270883,lazarus,24,2020-07-05,136
365,1442162,rob-westerduijn,2,2019-04-22,136
366,2032840,ghostburglar,12,2020-11-04,135
367,463097,richyfourtytwo,1,2021-08-17,135
368,1442162,rob-westerduijn,2,2021-01-29,135
369,1485790,cpu,8,2022-10-10,134
370,463097,richyfourtytwo,1,2021-08-15,134
371,463097,richyfourtytwo,1,2021-04-30,133
372,1442162,rob-westerduijn,2,2020-09-19,133
373,463097,richyfourtytwo,1,2021-09-15,133
374,1442162,rob-westerduijn,2,2019-03-22,133
375,115129,aguilita,13,2020-05-27,133
376,463097,richyfourtytwo,1,2020-05-14,132
377,1442162,rob-westerduijn,2,2020-07-23,132
378,463097,richyfourtytwo,1,2020-05-04,132
379,463097,richyfourtytwo,1,2021-09-18,132
380,463097,richyfourtytwo,1,2019-12-12,132
381,463097,richyfourtytwo,1,2021-08-26,132
382,463097,richyfourtytwo,1,2020-03-30,131
383,1397024,emiliapenaherrera,23,2019-01-07,131
384,463097,richyfourtytwo,1,2021-04-27,131
385,736966,jbar82,35,2018-09-27,130
386,1485790,cpu,8,2022-11-16,130
387,463097,richyfourtytwo,1,2021-06-02,130
388,2116455,davidenrique,3,2021-07-24,129
389,1012326,dusty_in_vilas-tx,4,2019-10-23,129
390,463097,richyfourtytwo,1,2022-03-27,129
391,463097,richyfourtytwo,1,2021-09-14,129
392,463097,richyfourtytwo,1,2021-06-28,129
393,2032840,ghostburglar,12,2020-09-30,129
394,1442162,rob-westerduijn,2,2019-03-28,128
395,297834,kt_woods,9,2021-09-08,128
396,463097,richyfourtytwo,1,2021-05-30,127
397,1442162,rob-westerduijn,2,2019-03-19,127
398,463097,richyfourtytwo,1,2021-05-06,127
399,2116455,davidenrique,3,2021-04-11,126
400,115129,aguilita,13,2018-09-02,125
401,463097,richyfourtytwo,1,2020-01-29,125
402,463097,richyfourtytwo,1,2021-08-11,125
403,1442162,rob-westerduijn,2,2020-03-02,124
404,2249019,elytrid,5,2021-04-26,124
405,1442162,rob-westerduijn,2,2019-04-15,124
406,1442162,rob-westerduijn,2,2019-03-08,124
407,775455,iosialectus,18,2021-07-24,123
408,270883,lazarus,24,2019-06-21,123
409,2116455,davidenrique,3,2021-07-08,123
410,6971,silversea_starsong,6,2022-10-30,123
411,2032840,ghostburglar,12,2020-09-27,122
412,463097,richyfourtytwo,1,2021-10-27,122
413,463097,richyfourtytwo,1,2019-09-07,122
414,463097,richyfourtytwo,1,2021-11-01,122
415,331926,erininmd,25,2020-04-19,121
416,980404,jilliankern,31,2019-05-11,120
417,297834,kt_woods,9,2021-10-21,120
418,34728,cosmiccat,14,2020-08-31,120
419,463097,richyfourtytwo,1,2021-11-13,119
420,18701,apgarm,22,2020-08-27,119
421,1012326,dusty_in_vilas-tx,4,2022-02-13,119
422,34728,cosmiccat,14,2020-09-10,118
423,463097,richyfourtytwo,1,2019-09-17,118
424,297834,kt_woods,9,2021-09-18,117
425,2116455,davidenrique,3,2021-09-18,117
426,463097,richyfourtytwo,1,2021-08-23,117
427,463097,richyfourtytwo,1,2021-08-25,116
428,1442162,rob-westerduijn,2,2019-05-17,116
429,1012326,dusty_in_vilas-tx,4,2022-02-12,116
430,463097,richyfourtytwo,1,2020-04-15,115
431,463097,richyfourtytwo,1,2020-03-28,115
432,115129,aguilita,13,2020-11-13,115
433,1442162,rob-westerduijn,2,2019-05-05,115
434,463097,richyfourtytwo,1,2022-03-23,115
435,463097,richyfourtytwo,1,2022-03-30,115
436,297834,kt_woods,9,2021-08-30,115
437,2116455,davidenrique,3,2021-07-14,114
438,463097,richyfourtytwo,1,2020-04-19,114
439,463097,richyfourtytwo,1,2021-09-04,114
440,463097,richyfourtytwo,1,2021-08-24,113
441,463097,richyfourtytwo,1,2020-05-05,113
442,34728,cosmiccat,14,2020-09-05,113
443,980404,jilliankern,31,2020-01-01,113
444,6971,silversea_starsong,6,2017-09-14,113
445,1442162,rob-westerduijn,2,2019-04-29,112
446,1442162,rob-westerduijn,2,2020-07-30,112
447,1442162,rob-westerduijn,2,2019-04-20,112
448,463097,richyfourtytwo,1,2021-08-19,111
449,270883,lazarus,24,2020-07-07,111
450,1442162,rob-westerduijn,2,2021-04-29,111
451,34728,cosmiccat,14,2020-09-12,111
452,297834,kt_woods,9,2021-09-06,111
453,1442162,rob-westerduijn,2,2019-03-30,111
454,18701,apgarm,22,2019-08-11,111
455,1485790,cpu,8,2021-12-03,111
456,1442162,rob-westerduijn,2,2019-03-16,111
457,2116455,davidenrique,3,2021-06-12,109
458,115129,aguilita,13,2019-11-10,109
459,2032840,ghostburglar,12,2020-10-13,109
460,1442162,rob-westerduijn,2,2019-04-08,108
461,1163777,trinaroberts,34,2020-05-21,108
462,1485790,cpu,8,2022-09-22,108
463,1485790,cpu,8,2021-11-24,108
464,297834,kt_woods,9,2021-08-24,108
465,270883,lazarus,24,2019-03-31,107
466,1012326,dusty_in_vilas-tx,4,2019-09-15,107
467,2116455,davidenrique,3,2021-08-04,107
468,2249019,elytrid,5,2020-10-26,107
469,463097,richyfourtytwo,1,2021-04-28,107
470,463097,richyfourtytwo,1,2021-10-30,107
471,1442162,rob-westerduijn,2,2019-05-23,107
472,2116455,davidenrique,3,2021-02-22,106
473,463097,richyfourtytwo,1,2022-03-25,106
474,2116455,davidenrique,3,2021-07-01,106
475,463097,richyfourtytwo,1,2020-05-12,106
476,2116455,davidenrique,3,2021-06-15,106
477,463097,richyfourtytwo,1,2021-09-07,106
478,463097,richyfourtytwo,1,2020-03-10,106
479,1442162,rob-westerduijn,2,2019-09-12,106
480,463097,richyfourtytwo,1,2021-11-15,106
481,463097,richyfourtytwo,1,2020-03-29,106
482,463097,richyfourtytwo,1,2021-08-04,105
483,463097,richyfourtytwo,1,2021-11-16,105
484,2249019,elytrid,5,2021-04-25,104
485,463097,richyfourtytwo,1,2021-10-16,104
486,463097,richyfourtytwo,1,2019-12-17,104
487,463097,richyfourtytwo,1,2021-08-05,103
488,115129,aguilita,13,2020-12-09,103
489,1442162,rob-westerduijn,2,2019-02-20,103
490,463097,richyfourtytwo,1,2020-04-18,103
491,165078,edanko,48,2017-01-25,102
492,2116455,davidenrique,3,2021-06-06,102
493,463097,richyfourtytwo,1,2021-11-28,102
494,1012326,dusty_in_vilas-tx,4,2022-02-24,102
495,463097,richyfourtytwo,1,2021-11-18,102
496,18701,apgarm,22,2021-06-26,101
497,2116455,davidenrique,3,2021-07-10,101
498,1442162,rob-westerduijn,2,2019-04-03,101
499,775455,iosialectus,18,2018-03-21,101
500,34728,cosmiccat,14,2020-09-20,101
501,6971,silversea_starsong,6,2017-06-19,101
502,2343836,josefloribundus,29,2022-09-17,101
503,2343836,josefloribundus,29,2022-08-13,101
504,297834,kt_woods,9,2021-09-05,100
505,980404,jilliankern,31,2019-05-12,100
506,463097,richyfourtytwo,1,2020-05-07,100
507,2249019,elytrid,5,2021-06-25,100
508,1012326,dusty_in_vilas-tx,4,2019-05-09,100
509,463097,richyfourtytwo,1,2022-03-29,100
510,463097,richyfourtytwo,1,2020-05-09,99
511,1012326,dusty_in_vilas-tx,4,2020-12-22,99
512,2116455,davidenrique,3,2021-06-21,99
513,22589,sambiology,11,2019-01-03,99
514,2249019,elytrid,5,2021-04-22,98
515,2116455,davidenrique,3,2021-04-18,98
516,18701,apgarm,22,2019-09-04,98
517,2249019,elytrid,5,2021-06-03,98
518,1012326,dusty_in_vilas-tx,4,2020-12-21,98
519,2116455,davidenrique,3,2021-08-01,97
520,463097,richyfourtytwo,1,2021-08-18,97
521,52839,glmory,44,2016-04-26,97
522,1442162,rob-westerduijn,2,2019-05-21,97
523,463097,richyfourtytwo,1,2021-12-03,97
524,2032840,ghostburglar,12,2021-03-02,97
525,1442162,rob-westerduijn,2,2019-04-02,97
526,463097,richyfourtytwo,1,2022-03-22,97
527,463097,richyfourtytwo,1,2019-10-29,97
528,2032840,ghostburglar,12,2020-11-05,97
529,2116455,davidenrique,3,2021-08-08,96
530,463097,richyfourtytwo,1,2020-05-06,96
531,579740,alex_cicindela_guy,15,2018-10-03,96
532,463097,richyfourtytwo,1,2020-04-09,95
533,2116455,davidenrique,3,2021-08-09,95
534,1442162,rob-westerduijn,2,2020-01-16,95
535,2249019,elytrid,5,2021-06-27,95
536,6971,silversea_starsong,6,2017-05-31,94
537,2249019,elytrid,5,2021-05-13,94
538,1012326,dusty_in_vilas-tx,4,2022-01-09,94
539,463097,richyfourtytwo,1,2022-03-17,94
540,2249019,elytrid,5,2021-06-07,93
541,579740,alex_cicindela_guy,15,2019-02-15,93
542,2116455,davidenrique,3,2021-04-25,93
543,242224,malisaspring,17,2018-09-13,93
544,1485790,cpu,8,2022-11-09,93
545,1012326,dusty_in_vilas-tx,4,2022-02-11,92
546,6971,silversea_starsong,6,2015-08-25,92
547,2116455,davidenrique,3,2021-04-04,92
548,463097,richyfourtytwo,1,2019-12-15,92
549,463097,richyfourtytwo,1,2020-03-31,92
550,2249019,elytrid,5,2021-04-13,91
551,2116455,davidenrique,3,2021-07-12,91
552,463097,richyfourtytwo,1,2020-03-22,91
553,2116455,davidenrique,3,2021-07-17,91
554,463097,richyfourtytwo,1,2022-01-05,91
555,1442162,rob-westerduijn,2,2019-03-07,90
556,463097,richyfourtytwo,1,2020-04-06,90
557,261069,franciscoacos,10,2019-05-04,90
558,297834,kt_woods,9,2022-04-26,90
559,165078,edanko,48,2017-01-22,90
560,463097,richyfourtytwo,1,2020-04-01,90
561,463097,richyfourtytwo,1,2020-04-04,90
562,297834,kt_woods,9,2021-09-09,90
563,2116455,davidenrique,3,2021-06-20,90
564,2032840,ghostburglar,12,2020-11-16,89
565,463097,richyfourtytwo,1,2019-10-21,89
566,1442162,rob-westerduijn,2,2020-07-01,89
567,463097,richyfourtytwo,1,2020-04-30,89
568,1397024,emiliapenaherrera,23,2020-05-19,89
569,270883,lazarus,24,2020-10-28,89
570,2116455,davidenrique,3,2021-06-01,89
571,2116455,davidenrique,3,2021-07-16,89
